Accession	Female_Parent	Male_Parent	Cross_Type
IITA-TMS-IBA011206	IITA-TMS-IBA950971	NR8421	biparental
IITA-TMS-IBA011224	IITA-TMS-IBA9001554	IITA-TMS-IBA960035	biparental
IITA-TMS-IBA011231	IITA-TMS-IBA930078	IITA-TMS-IBA950925	biparental
IITA-TMS-IBA011273	IITA-TMS-IBA950379	IITA-TMS-IBA940263	biparental
IITA-TMS-IBA011296	IITA-TMS-IBA950971	IITA-TMS-IBA940263	biparental
IITA-TMS-IBA011331	IITA-TMS-IBA950967	71693	biparental
IITA-TMS-IBA011335	IITA-TMS-IBA950967	71693	biparental
IITA-TMS-IBA011368	IITA-TMS-IBA940561	IITA-TMS-IBA940263	biparental
IITA-TMS-IBA011371	IITA-TMS-IBA940561	IITA-TMS-IBA940263	biparental
IITA-TMS-IBA011404	IITA-TMS-IBA940561	IITA-TMS-IBA940263	biparental
IITA-TMS-IBA011412	IITA-TMS-IBA950971	IITA-TMS-IBA940561	biparental
IITA-TMS-IBA011413	IITA-TMS-IBA950971	IITA-TMS-IBA940561	biparental
IITA-TMS-IBA011417	IITA-TMS-IBA950971	IITA-TMS-IBA940561	biparental
IITA-TMS-IBA011423	IITA-TMS-IBA950971	IITA-TMS-IBA940561	biparental
IITA-TMS-IBA011442	IITA-TMS-IBA950379	IITA-TMS-IBA940330	biparental
IITA-TMS-IBA011551	IITA-TMS-IBA950971	IITA-TMS-ONN8500066	biparental
IITA-TMS-IBA011560	IITA-TMS-IBA8902195	IITA-TMS-IBA950925	biparental
IITA-TMS-IBA011635	IITA-TMS-IBA950971	71693	biparental
IITA-TMS-IBA011646	IITA-TMS-IBA8902195	IITA-TMS-IBA940330	biparental
IITA-TMS-IBA011659	IITA-TMS-IBA8902195	IITA-TMS-IBA950379	biparental
IITA-TMS-IBA011663	IITA-TMS-IBA8902195	IITA-TMS-IBA950379	biparental
IITA-TMS-IBA011732	IITA-TMS-IBA940239	TMEB117	biparental
IITA-TMS-IBA011735	IITA-TMS-IBA940239	TMEB117	biparental
IITA-TMS-IBA011752	TME3	TMEB117	biparental
IITA-TMS-IBA011760	IITA-TMS-IBA920326	TMEB117	biparental
IITA-TMS-IBA011797	IITA-TMS-IBA950379	TMEB117	biparental
IITA-TMS-IBA011802	IITA-TMS-IBA30572	TMEB279	biparental
IITA-TMS-IBA011807	TMEB9	IITA-TMS-IBA91934	biparental
IITA-TMS-IBA011811	TMEB1	IITA-TMS-IBA30572	biparental
IITA-TMS-IBA011813	TMEB9	IITA-TMS-IBA91934	biparental
IITA-TMS-IBA020091	IITA-TMS-IBA91934(4X)	IITA-TMS-IBA30572(2X)	biparental
IITA-TMS-IBA020093	IITA-TMS-IBA91934CTR	TMEB204(2X)	biparental
IITA-TMS-IBA020100	IITA-TMS-IBA8400136(4X)	TMEB204(2X)	biparental
IITA-TMS-IBA020103	TMEB279(2X)	IITA-TMS-IBA30572(2X)	biparental
IITA-TMS-IBA020105	IITA-TMS-IBA91934CTR	TMEB204(2X)	biparental
IITA-TMS-IBA020129	IITA-TMS-IBA920067	SA203-1	biparental
IITA-TMS-IBA020131	IITA-TMS-IBA9102325	SM2702-4	biparental
IITA-TMS-IBA020133			
IITA-TMS-IBA020134			
IITA-TMS-IBA020233			
IITA-TMS-IBA020285			
IITA-TMS-IBA020388			
IITA-TMS-IBA020409			
IITA-TMS-IBA020431			
IITA-TMS-IBA020432			
IITA-TMS-IBA020444			
IITA-TMS-IBA020452	IITA-TMS-IBA30572	TMEBB4	biparental
IITA-TMS-IBA020509	IITA-TMS-IBA940038	CASTOR A	biparental
IITA-TMS-IBA020510	IITA-TMS-IBA940009	CASTOR A	biparental
IITA-TMS-IBA020514	IITA-TMS-IBA940038	CASTOR B	biparental
IITA-TMS-IBA020516	IITA-TMS-IBA940038	CASTOR B	biparental
IITA-TMS-IBA020540	IITA-TMS-IBA30572	CASTOR A	biparental
IITA-TMS-IBA020570	IITA-TMS-IBA940009	CASTOR A	biparental
IITA-TMS-IBA020588	IITA-TMS-IBA940038	CASTOR A	biparental
IITA-TMS-IBA030006A			
IITA-TMS-IBA030006B			
IITA-TMS-IBA030007			
IITA-TMS-IBA030013			
IITA-TMS-IBA030015			
IITA-TMS-IBA030028			
IITA-TMS-IBA030030			
IITA-TMS-IBA030042			
IITA-TMS-IBA030055A			
